rpt_rec_num,wksht_cd,line_num,clmn_num,itm_val_num
1000001,S200001,00100,00100,20100000
1000001,S200001,00200,00100,8100000
1000001,S200001,00300,00100,12000000
1000001,S300001,00100,00100,20800000
1000001,S300001,00200,00100,10200000
1000001,S300001,00300,00100,2600000
1000001,S300001,00400,00100,3000000
1000001,S300001,00500,00100,1200000
1000001,S300001,00600,00100,1000000
1000001,S300001,00700,00100,400000
1000001,G200001,00100,00100,5000000
1000001,G200001,00200,00100,7500000
1000001,G200001,00300,00100,3100000
1000001,G200001,00400,00100,25000000
1000001,G200001,00500,00100,8000000
1000001,G200001,00600,00100,15000000
1000001,G200001,00700,00100,12000000
1000001,S300001,01000,00100,280
1000001,S300001,01100,00100,4800
1000001,S300001,01200,00100,92
1000001,S300001,01300,00100,0.55
1000001,S300001,01400,00100,0.18
1000002,S200001,00100,00100,14200000
1000002,S200001,00200,00100,0
1000002,S200001,00300,00100,10660000
1000002,S300001,00100,00100,13100000
1000002,S300001,00200,00100,7300000
1000002,S300001,00300,00100,2000000
1000002,S300001,00400,00100,1400000
1000002,S300001,00500,00100,800000
1000002,S300001,00600,00100,600000
1000002,S300001,00700,00100,200000
1000003,S200001,00100,00100,12800000
1000003,S200001,00200,00100,4500000
1000003,S200001,00300,00100,8300000
1000003,S300001,00100,00100,14200000
1000003,S300001,00200,00100,8100000
1000003,S300001,00300,00100,2200000
1000003,S300001,00400,00100,1500000
1000003,S300001,00500,00100,1100000
1000003,S300001,00600,00100,700000
1000003,S300001,00700,00100,550000
